Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
CBG,9390000000,7/20/2016,4:02 PM,1.52%,2519478,2947770
CBS,24700000000,7/20/2016,4:01 PM,-0.82%,2971460,4013780
CELG,81040000000,7/20/2016,4:00 PM,2.31%,5617015,4320860
CNC,12350000000,7/20/2016,4:02 PM,0.92%,887835,1955280
CNP,10390000000,7/20/2016,4:00 PM,0.84%,5113985,3891400
CTL,16680000000,7/20/2016,4:02 PM,0.20%,3987982,5340770
CERN,20970000000,7/20/2016,4:00 PM,2.33%,1689769,2056240
CF,6200000000,7/20/2016,4:03 PM,0.23%,4144088,4887790
SCHW,36900000000,7/20/2016,4:03 PM,1.60%,9005706,9902930
CHK,3190000000,7/20/2016,4:00 PM,5.33%,36784396,36765100
CVX,1.99E+11,7/20/2016,4:01 PM,-0.42%,6384648,6713860
CMG,12260000000,7/20/2016,4:02 PM,1.05%,818297,1096070
CB,59590000000,7/20/2016,4:00 PM,-0.42%,969325,1502780
CHD,12780000000,7/20/2016,4:01 PM,-1.09%,499112,790248
CI,34140000000,7/20/2016,4:00 PM,2.16%,1946918,1545560
XEC,11300000000,7/20/2016,4:01 PM,0.45%,1048115,979106
CINF,12320000000,7/20/2016,4:00 PM,-0.33%,505657,610625
CTAS,11430000000,7/20/2016,4:00 PM,9.68%,3366012,649576
CSCO,1.54E+11,7/20/2016,4:00 PM,2.37%,49716721,23261500
C,1.29E+11,7/20/2016,4:02 PM,0.27%,15982423,22528400
CFG,11280000000,7/20/2016,4:00 PM,1.38%,7994800,6222560
CTXS,13340000000,7/20/2016,4:00 PM,1.06%,729871,1451310
CME,34370000000,7/20/2016,4:00 PM,-0.79%,1245112,1491880
CMS,12520000000,7/20/2016,4:01 PM,-0.36%,1473082,2191700
COH,11970000000,7/20/2016,4:03 PM,-0.55%,1734709,3816700
CTSH,35580000000,7/20/2016,4:00 PM,1.82%,3578177,4048710
CL,66190000000,7/20/2016,4:00 PM,-0.07%,2956930,3222410
CMCSA,1.63E+11,7/20/2016,4:00 PM,0.04%,5896377,9821230
CMA,7920000000,7/20/2016,4:02 PM,0.98%,2419077,2525590
CAG,20810000000,7/20/2016,4:02 PM,-0.69%,2718449,2705960
CXO,15850000000,7/20/2016,4:00 PM,0.07%,898062,1292150
COP,52050000000,7/20/2016,4:00 PM,0.29%,6679314,8447970
ED,23200000000,7/20/2016,4:01 PM,-0.25%,1571366,2241690
STZ,#VALUE!,7/20/2016,4:02 PM,1.42%,1208041,1466760
GLW,23240000000,7/20/2016,4:00 PM,1.36%,4869332,8804800
COST,73610000000,7/20/2016,4:00 PM,-0.05%,1322983,2732390
CCI,32910000000,7/20/2016,4:01 PM,-1.17%,1968887,2280910
CSRA,4110000000,7/20/2016,4:02 PM,0.92%,888778,1280920
CSX,27070000000,7/20/2016,4:00 PM,1.13%,6035602,7384390
CMI,19940000000,7/20/2016,4:01 PM,0.94%,2058205,1810600
CVS,1.04E+11,7/20/2016,4:00 PM,0.10%,3482039,5020390
DHI,12760000000,7/20/2016,4:01 PM,1.00%,5323403,3440500
DHR,56050000000,7/20/2016,4:03 PM,0.63%,2325394,3773640
DRI,7920000000,7/20/2016,4:00 PM,0.48%,1447555,2017590
