Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,RR,ROLLS-ROYCE HOLDINGS PLC,Industrials,,United Kingdom,55.378051,-3.435973
,ATCO,ATLAS COPCO AB-A SHS,Industrials,,Sweden,60.128161,18.643501
,SHB,SVENSKA HANDELSBANKEN-A SHS,Financials,,Sweden,60.128161,18.643501
,ATLN,ACTELION LTD,Health Care,,Switzerland,46.818188,8.227512
,CNA,CENTRICA PLC,Utilities,,United Kingdom,55.378051,-3.435973
,STL,STATOIL ASA,Energy,,Norway,60.472024,8.468946
,KBC,KBC GROEP,Financials,,Belgium,50.503887,4.469936
,G,ASSICURAZIONI GENERALI,Financials,,Italy,41.87194,12.56738
,VNA,VONOVIA SE,Financials,,Germany,51.165691,10.451526
,TSCO,TESCO PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,VOLV,VOLVO,Industrials,,Sweden,60.128161,18.643501
,AKZA,AKZO NOBEL NV,Materials,,Netherlands,52.132633,5.291266
,LGEN,LEGAL & GENERAL GROUP PLC,Financials,,United Kingdom,55.378051,-3.435973
,DB1,DEUTSCHE BOERSE AG,Financials,,Germany,51.165691,10.451526
,SN,SMITH & NEPHEW PLC,Health Care,,United Kingdom,55.378051,-3.435973
,INVE,INVESTOR,Financials,,Sweden,60.128161,18.643501
,VWS,VESTAS WIND SYSTEMS A/S,Industrials,,Denmark,56.26392,9.501785
,CA,CARREFOUR SA,Consumer Staples,,France,46.227638,2.213749
,PNDORA,PANDORA A/S,Consumer Discretionary,,Denmark,56.26392,9.501785
,SEB,SKANDINAVISKA ENSKILDA BANKEN,Financials,,Sweden,60.128161,18.643501
,PUB,PUBLICIS GROUPE SA,Consumer Discretionary,,France,46.227638,2.213749
,CAP,CAPGEMINI,Information Technology,,France,46.227638,2.213749
,AAL,ANGLO AMERICAN PLC,Materials,,United Kingdom,55.378051,-3.435973
,WOS,WOLSELEY PLC,Industrials,,United Kingdom,55.378051,-3.435973
,LR,LEGRAND SA,Industrials,,France,46.227638,2.213749
,GEBN,GEBERIT AG,Industrials,,Switzerland,46.818188,8.227512
,MRK,MERCK KGAA,Health Care,,Germany,51.165691,10.451526
,REP,REPSOL SA,Energy,,Spain,40.463667,-3.74922
,UCG,UNICREDIT,Financials,,Italy,41.87194,12.56738
,KER,KERING SA,Consumer Discretionary,,France,46.227638,2.213749
,KRZ,KERRY GROUP PLC,Consumer Staples,,Ireland,53.41291,-8.24389
,ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,WKL,WOLTERS KLUWER NV,Consumer Discretionary,,Netherlands,52.132633,5.291266
,TELIA,TELIA COMPANY,Telecommunication Services,,Sweden,60.128161,18.643501
,SRG,SNAM,Utilities,,Italy,41.87194,12.56738
,SCMN,SWISSCOM AG,Telecommunication Services,,Switzerland,46.818188,8.227512
,SKY,SKY PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,FR,VALEO SA,Consumer Discretionary,,France,46.227638,2.213749
,DWNI,DEUTSCHE WOHNEN AG,Financials,,Germany,51.165691,10.451526
,SGSN,SGS SA,Industrials,,Switzerland,46.818188,8.227512
,OML,OLD MUTUAL PLC,Financials,,United Kingdom,55.378051,-3.435973
,SAND,SANDVIK AB,Industrials,,Sweden,60.128161,18.643501
,TEL,TELENOR ASA,Telecommunication Services,,Norway,60.472024,8.468946
,LAND,LAND SECURITIES GROUP REIT PLC,Financials,,United Kingdom,55.378051,-3.435973
,DSM,KONINKLIJKE DSM NV,Materials,,Netherlands,52.132633,5.291266
,NZYM,NOVOZYMES,Materials,,Denmark,56.26392,9.501785
,HEI,HEIDELBERGCEMENT AG,Materials,,Germany,51.165691,10.451526
,LSE,LONDON STOCK EXCHANGE GROUP PLC,Financials,,United Kingdom,55.378051,-3.435973
,MT,ARCELORMITTAL SA,Materials,,France,46.227638,2.213749
,SW,SODEXO SA,Consumer Discretionary,,France,46.227638,2.213749
,DSY,DASSAULT SYSTEMES SA,Information Technology,,France,46.227638,2.213749
,KPN,KONINKLIJKE KPN NV NV,Telecommunication Services,,Netherlands,52.132633,5.291266
,ACA,CREDIT AGRICOLE SA,Financials,,France,46.227638,2.213749
,UPM1V,UPM-KYMMENE,Materials,,Finland,61.92411,25.748151
,RRS,RANDGOLD RESOURCES LTD,Materials,,United Kingdom,55.378051,-3.435973
,VIE,VEOLIA ENVIRONNEMENT VE SA,Utilities,,France,46.227638,2.213749
,CARL,CARLSBERG,Consumer Staples,,Denmark,56.26392,9.501785
,PSO,PEARSON PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,AENA,AENA SA,Industrials,,Spain,40.463667,-3.74922
,DNB,DNB,Financials,,Norway,60.472024,8.468946
,SGE,SAGE GROUP PLC,Information Technology,,United Kingdom,55.378051,-3.435973
,BNZL,BUNZL PLC,Industrials,,United Kingdom,55.378051,-3.435973
,CCL,CARNIVAL PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,ATCO,ATLAS COPCO AB-B SHS,Industrials,,Sweden,60.128161,18.643501
,UCB,UCB SA,Health Care,,Belgium,50.503887,4.469936
,KGF,KINGFISHER PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,ATL,ATLANTIA,Industrials,,Italy,41.87194,12.56738
,NXT,NEXT PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,PSM,PROSIEBEN SAT.1 MEDIA N,Consumer Discretionary,,Germany,51.165691,10.451526
,LONN,LONZA GROUP AG,Health Care,,Switzerland,46.818188,8.227512
,REE,RED ELECTRICA CORPORACION SA,Utilities,,Spain,40.463667,-3.74922
,SIK,SIKA AG,Materials,,Switzerland,46.818188,8.227512
,HEXA,HEXAGON,Information Technology,,Sweden,60.128161,18.643501
,GEN,GENMAB,Health Care,,Denmark,56.26392,9.501785
,TKA,THYSSENKRUPP AG,Materials,,Germany,51.165691,10.451526
,CDI,CHRISTIAN DIOR,Consumer Discretionary,,France,46.227638,2.213749
,PPB,PADDY POWER BETFAIR PLC,Consumer Discretionary,,Ireland,53.41291,-8.24389
,ITV,ITV PLC,Consumer Discretionary,,United Kingdom,55.378051,-3.435973
,ADEN,ADECCO AG,Industrials,,Switzerland,46.818188,8.227512
